Priority | Area | Timeslot | Duration | Frequency | Time | ID | Operator
[[1. 1. 0. 9. 1. 1. 1. 2.]]
[[2. 4. 1. 1. 2. 2. 2. 3.]]
[[2. 6. 2. 4. 2. 3. 3. 2.]]
[[  3.   6. 612.   3.   2.   3. 476.   3.]]
[[  1.   6. 613.   7.   3.   2. 477.   2.]]
[[  1.   1. 615.   2.   1.   1. 478.   3.]]
[[  3.   1. 616.   6.   1.   1. 479.   2.]]
[[  2.   1. 617.   3.   1.   1. 480.   2.]]
[[  3.   3. 618.   2.   1.   3. 481.   1.]]
[[  3.   4. 620.   3.   2.   2. 482.   2.]]
[[  1.   2. 621.   9.   1.   2. 483.   3.]]
[[  3.   2. 622.   9.   2.   1. 484.   2.]]
[[  3.   2. 623.   4.   1.   2. 485.   3.]]
[[  2.   4. 624.  10.   2.   2. 486.   2.]]
[[  3.   3. 625.   8.   1.   3. 487.   3.]]
[[  2.   6. 626.   1.   3.   2. 488.   1.]]
[[  3.   3. 627.   7.   1.   3. 489.   2.]]
[[  3.   6. 628.   4.   2.   3. 490.   1.]]
[[  3.   2. 629.   3.   2.   1. 491.   2.]]
[[  3.   3. 630.  10.   3.   1. 492.   1.]]
[[  1.   4. 631.   1.   2.   2. 493.   3.]]
[[  3.   3. 632.   1.   1.   3. 494.   2.]]
[[  1.   1. 633.   9.   1.   1. 495.   3.]]
[[  3.   9. 635.   3.   3.   3. 496.   2.]]
[[  2.   1. 637.   8.   1.   1. 497.   3.]]
[[  1.   3. 638.   1.   3.   1. 498.   3.]]
[[  1.   2. 639.   7.   1.   2. 499.   2.]]
[[  2.   6. 640.   1.   2.   3. 500.   1.]]
[[  1.   6. 641.   4.   3.   2. 501.   3.]]
[[  1.   3. 642.   1.   1.   3. 502.   1.]]
[[  3.   4. 644.   4.   2.   2. 503.   2.]]
[[  3.   3. 645.   7.   1.   3. 504.   3.]]
[[  2.   6. 647.   7.   3.   2. 505.   1.]]
[[  3.   3. 648.   4.   1.   3. 506.   2.]]
[[  3.   3. 649.   5.   1.   3. 507.   3.]]
[[  3.   2. 650.   5.   2.   1. 508.   3.]]
[[  3.   1. 651.   3.   1.   1. 509.   2.]]
[[  2.   9. 652.   1.   3.   3. 510.   3.]]
[[  3.   4. 654.   9.   2.   2. 511.   2.]]
[[  3.   9. 656.   8.   3.   3. 512.   2.]]
[[  3.   9. 657.   7.   3.   3. 513.   3.]]
[[  2.   6. 658.   1.   2.   3. 514.   1.]]
[[  2.   2. 659.   5.   2.   1. 515.   2.]]
[[  3.   2. 660.   5.   1.   2. 516.   1.]]
[[  3.   4. 661.   2.   2.   2. 517.   2.]]
[[  1.   6. 663.   3.   2.   3. 518.   2.]]
[[  2.   4. 664.   2.   2.   2. 519.   1.]]
[[  2.   4. 665.   3.   2.   2. 520.   2.]]
[[  1.   2. 666.   8.   2.   1. 521.   3.]]
[[  1.   2. 668.   3.   2.   1. 522.   2.]]
[[  3.   4. 669.   9.   2.   2. 523.   3.]]
[[  2.   6. 670.   3.   2.   3. 524.   2.]]
[[  3.   6. 671.   1.   2.   3. 525.   1.]]
[[  1.   4. 672.   5.   2.   2. 526.   1.]]
[[  3.   3. 673.   7.   1.   3. 527.   1.]]
[[  3.   6. 674.   6.   3.   2. 528.   2.]]
[[  3.   3. 675.   2.   3.   1. 529.   1.]]
[[  3.   1. 676.   2.   1.   1. 530.   1.]]
[[  3.   3. 677.   8.   3.   1. 531.   3.]]
[[  1.   2. 679.   8.   2.   1. 532.   1.]]
[[  3.   6. 681.   7.   2.   3. 533.   1.]]
[[  2.   2. 682.   8.   1.   2. 534.   1.]]
[[  1.   2. 683.   8.   1.   2. 535.   2.]]
[[  1.   6. 684.  10.   2.   3. 536.   2.]]
[[  2.   6. 685.   2.   2.   3. 537.   3.]]
[[  2.   4. 688.   7.   2.   2. 538.   2.]]
[[  2.   6. 689.   3.   2.   3. 539.   1.]]
[[  3.   9. 690.   4.   3.   3. 540.   1.]]
[[  2.   4. 692.   8.   2.   2. 541.   1.]]
[[  3.   9. 693.   2.   3.   3. 542.   1.]]
[[  1.   4. 694.  10.   2.   2. 543.   2.]]
[[  3.   1. 695.   9.   1.   1. 544.   1.]]
[[  3.   9. 697.   7.   3.   3. 545.   2.]]
[[  3.   6. 698.   3.   2.   3. 546.   2.]]
[[  3.   1. 699.   9.   1.   1. 547.   2.]]
[[  2.   2. 701.   9.   2.   1. 548.   3.]]
[[  1.   9. 702.   6.   3.   3. 549.   3.]]
[[  3.   6. 703.   1.   2.   3. 550.   1.]]
[[  3.   1. 704.   4.   1.   1. 551.   1.]]
[[  3.   1. 706.   5.   1.   1. 552.   1.]]
[[  1.   2. 708.   9.   1.   2. 553.   2.]]
[[  2.   4. 709.   3.   2.   2. 554.   3.]]
[[  2.   1. 710.   7.   1.   1. 555.   1.]]
[[  2.   4. 711.   1.   2.   2. 556.   2.]]
[[  2.   2. 713.   4.   2.   1. 557.   3.]]
[[  1.   2. 714.   1.   2.   1. 558.   2.]]
[[  2.   3. 715.  10.   3.   1. 559.   3.]]
[[  3.   3. 716.  10.   1.   3. 560.   1.]]
[[  2.   1. 717.   3.   1.   1. 561.   3.]]
[[  3.   3. 718.   6.   1.   3. 562.   2.]]
[[  1.   2. 719.   3.   1.   2. 563.   2.]]
[[  3.   6. 721.  10.   3.   2. 564.   3.]]
[[  3.   9. 722.   6.   3.   3. 565.   2.]]
[[  3.   6. 723.   3.   2.   3. 566.   2.]]
[[  2.   3. 726.   1.   1.   3. 567.   2.]]
[[  2.   3. 727.   1.   3.   1. 568.   2.]]
[[  1.   3. 729.   5.   3.   1. 569.   1.]]
[[  2.   9. 730.   6.   3.   3. 570.   3.]]
[[  3.   6. 731.   3.   3.   2. 571.   1.]]
[[  1.   3. 732.   1.   3.   1. 572.   2.]]
[[  2.   2. 733.   1.   2.   1. 573.   2.]]
[[  3.   3. 734.   8.   1.   3. 574.   3.]]
[[  3.   6. 735.   1.   3.   2. 575.   2.]]
[[  1.   1. 737.   2.   1.   1. 576.   3.]]
[[  2.   6. 739.   9.   3.   2. 577.   2.]]
[[  1.   4. 740.   2.   2.   2. 578.   2.]]
[[  1.   6. 741.   1.   3.   2. 579.   1.]]
[[  2.   6. 742.   6.   3.   2. 580.   2.]]
[[  2.   6. 743.   7.   2.   3. 581.   1.]]
[[  3.   3. 744.   7.   3.   1. 582.   3.]]
[[  3.   4. 745.   3.   2.   2. 583.   1.]]
[[  1.   6. 746.   2.   3.   2. 584.   1.]]
[[  3.   2. 747.   2.   2.   1. 585.   1.]]
[[  2.   3. 749.   6.   3.   1. 586.   1.]]
[[  2.   3. 755.   4.   3.   1. 587.   3.]]
[[  3.   2. 756.   2.   1.   2. 588.   1.]]
[[  3.   3. 757.   4.   1.   3. 589.   1.]]
[[  3.   6. 758.   2.   2.   3. 590.   1.]]
[[  2.   1. 759.   9.   1.   1. 591.   2.]]
[[  3.   2. 760.   4.   2.   1. 592.   1.]]
[[  1.   6. 761.   1.   3.   2. 593.   2.]]
[[  2.   6. 762.   1.   2.   3. 594.   2.]]
[[  2.   9. 763.   8.   3.   3. 595.   1.]]
[[  3.   9. 764.   6.   3.   3. 596.   2.]]
[[  1.   4. 768.   8.   2.   2. 597.   2.]]
[[  3.   1. 769.   5.   1.   1. 598.   2.]]
[[  3.   6. 770.   4.   3.   2. 599.   1.]]
[[  1.   3. 771.   2.   3.   1. 600.   1.]]
[[  3.   6. 772.   8.   2.   3. 601.   1.]]
[[  3.   1. 774.   4.   1.   1. 602.   1.]]
[[  2.   3. 776.  10.   1.   3. 603.   1.]]
[[  3.   3. 777.   5.   1.   3. 604.   1.]]
[[  1.   6. 779.   9.   2.   3. 605.   1.]]
[[  3.   1. 781.   3.   1.   1. 606.   1.]]
[[  3.   2. 782.   7.   1.   2. 607.   2.]]
[[  3.   2. 784.   9.   1.   2. 608.   1.]]
[[  2.   2. 786.   3.   1.   2. 609.   2.]]
[[  1.   6. 787.   3.   3.   2. 610.   3.]]
[[  3.   2. 788.   1.   1.   2. 611.   3.]]
[[  2.   3. 789.   8.   1.   3. 612.   2.]]
[[  2.   3. 790.  10.   1.   3. 613.   2.]]
[[  3.   9. 791.   9.   3.   3. 614.   3.]]
[[  3.   2. 793.   1.   1.   2. 615.   2.]]
[[  3.   2. 794.   2.   2.   1. 616.   3.]]
[[  3.   3. 795.   1.   1.   3. 617.   2.]]
[[  3.   3. 796.   6.   3.   1. 618.   2.]]
[[  3.   6. 797.   2.   3.   2. 619.   2.]]
[[  2.   9. 798.   4.   3.   3. 620.   1.]]
[[  2.   9. 799.   2.   3.   3. 621.   3.]]
[[  3.   6. 800.   9.   3.   2. 622.   1.]]
[[  2.   6. 801.  10.   3.   2. 623.   3.]]
[[  3.   2. 802.   8.   2.   1. 624.   3.]]
[[  3.   2. 803.   9.   1.   2. 625.   3.]]
[[  2.   4. 804.   8.   2.   2. 626.   2.]]
[[  1.   9. 806.   2.   3.   3. 627.   1.]]
[[  1.   9. 807.  10.   3.   3. 628.   2.]]
[[  3.   6. 808.   4.   2.   3. 629.   3.]]
[[  3.   6. 809.   1.   2.   3. 630.   1.]]
[[  2.   9. 810.   5.   3.   3. 631.   1.]]
[[  3.   9. 811.   7.   3.   3. 632.   1.]]
[[  1.   2. 813.   8.   2.   1. 633.   2.]]
[[  1.   4. 814.   6.   2.   2. 634.   1.]]
[[  2.   2. 815.   4.   2.   1. 635.   2.]]
[[  3.   6. 816.   2.   2.   3. 636.   1.]]
[[  3.   2. 817.   4.   2.   1. 637.   2.]]
[[  1.   6. 819.  10.   3.   2. 638.   1.]]
[[  1.   9. 820.   7.   3.   3. 639.   1.]]
[[  2.   3. 822.   5.   3.   1. 640.   3.]]
[[  2.   6. 823.  10.   2.   3. 641.   1.]]
[[  3.   4. 824.   6.   2.   2. 642.   2.]]
[[  3.   6. 825.   8.   2.   3. 643.   2.]]
[[  3.   2. 826.   5.   1.   2. 644.   1.]]
[[  3.   4. 828.   1.   2.   2. 645.   1.]]
[[  3.   1. 831.   6.   1.   1. 646.   3.]]
[[  3.   6. 832.   6.   3.   2. 647.   2.]]
[[  3.   1. 833.  10.   1.   1. 648.   1.]]
[[  3.   2. 834.   1.   1.   2. 649.   3.]]
[[  3.   1. 835.   7.   1.   1. 650.   1.]]
[[  3.   9. 836.   8.   3.   3. 651.   1.]]
[[  1.   4. 837.   5.   2.   2. 652.   1.]]
[[  1.   1. 838.   2.   1.   1. 653.   1.]]
[[  3.   9. 839.   7.   3.   3. 654.   1.]]
[[  2.   4. 840.   9.   2.   2. 655.   1.]]
[[  3.   3. 841.   9.   3.   1. 656.   3.]]
[[  2.   1. 842.   6.   1.   1. 657.   1.]]
[[  1.   6. 844.  10.   3.   2. 658.   2.]]
[[  2.   2. 845.   8.   1.   2. 659.   2.]]
[[  1.   2. 848.   1.   2.   1. 660.   3.]]
[[  3.   9. 849.   1.   3.   3. 661.   1.]]
[[  2.   3. 850.   7.   1.   3. 662.   2.]]
[[  2.   6. 851.  10.   2.   3. 663.   2.]]
[[  2.   2. 852.   8.   2.   1. 664.   2.]]
[[  1.   6. 853.   2.   3.   2. 665.   1.]]
[[  2.   6. 855.   8.   2.   3. 666.   1.]]
[[  2.   1. 857.   6.   1.   1. 667.   3.]]
[[  2.   4. 858.   6.   2.   2. 668.   2.]]
[[  3.   3. 860.  10.   1.   3. 669.   2.]]
[[  3.   9. 861.   7.   3.   3. 670.   1.]]
[[  2.   2. 862.   1.   1.   2. 671.   3.]]
[[  3.   4. 863.   9.   2.   2. 672.   1.]]
[[  1.   4. 864.   6.   2.   2. 673.   3.]]
[[  1.   1. 865.   3.   1.   1. 674.   3.]]
[[  2.   2. 867.   4.   1.   2. 675.   2.]]
[[  1.   9. 868.   1.   3.   3. 676.   1.]]
[[  3.   4. 869.   1.   2.   2. 677.   2.]]
[[  3.   9. 870.   3.   3.   3. 678.   3.]]
[[  1.   9. 872.   7.   3.   3. 679.   3.]]
[[  3.   1. 873.   1.   1.   1. 680.   2.]]
[[  3.   2. 874.  10.   1.   2. 681.   2.]]
[[  3.   2. 876.  10.   2.   1. 682.   1.]]
[[  3.   1. 879.   8.   1.   1. 683.   3.]]
[[  2.   6. 880.   7.   2.   3. 684.   2.]]
[[  1.   2. 881.   1.   2.   1. 685.   1.]]
[[  1.   2. 883.   1.   2.   1. 686.   3.]]
[[  2.   6. 884.   7.   2.   3. 687.   2.]]
[[  3.   2. 885.   2.   2.   1. 688.   3.]]
[[  3.   9. 886.   9.   3.   3. 689.   2.]]
[[  3.   9. 887.   8.   3.   3. 690.   1.]]
[[  3.   4. 888.   1.   2.   2. 691.   3.]]
[[  3.   6. 889.   2.   3.   2. 692.   2.]]
[[  3.   9. 890.  10.   3.   3. 693.   2.]]
[[  3.   2. 891.   7.   2.   1. 694.   2.]]
[[  2.   1. 892.   5.   1.   1. 695.   1.]]
[[  2.   4. 894.   5.   2.   2. 696.   1.]]
[[  3.   1. 897.   5.   1.   1. 697.   1.]]
[[  1.   2. 899.  10.   2.   1. 698.   2.]]
[[  1.   4. 900.  10.   2.   2. 699.   1.]]
[[  1.   2. 901.  10.   1.   2. 700.   1.]]
[[  1.   1. 902.   1.   1.   1. 701.   2.]]
[[  2.   3. 903.   2.   1.   3. 702.   2.]]
[[  1.   3. 904.   1.   1.   3. 703.   2.]]
[[  2.   2. 905.   1.   2.   1. 704.   1.]]
[[  3.   1. 906.  10.   1.   1. 705.   2.]]
[[  2.   2. 907.   3.   1.   2. 706.   2.]]
[[  3.   6. 909.   4.   2.   3. 707.   3.]]
[[  3.   4. 910.   5.   2.   2. 708.   2.]]
[[  3.   4. 911.   9.   2.   2. 709.   2.]]
[[  3.   6. 912.   5.   2.   3. 710.   2.]]
[[  2.   3. 913.   9.   3.   1. 711.   2.]]
[[  3.   1. 915.   1.   1.   1. 712.   2.]]
[[  3.   2. 916.   3.   2.   1. 713.   1.]]
[[  3.   6. 917.   7.   2.   3. 714.   1.]]
[[  3.   2. 919.   3.   1.   2. 715.   2.]]
[[  2.   2. 922.   7.   2.   1. 716.   1.]]
[[  3.   6. 923.   4.   2.   3. 717.   3.]]
[[  3.   9. 924.   7.   3.   3. 718.   1.]]
[[  2.   4. 927.   1.   2.   2. 719.   2.]]
[[  2.   3. 928.   1.   3.   1. 720.   2.]]
[[  3.   9. 929.   5.   3.   3. 721.   3.]]
[[  1.   2. 930.   4.   1.   2. 722.   1.]]
[[  2.   1. 931.   9.   1.   1. 723.   2.]]
[[  3.   9. 932.   4.   3.   3. 724.   1.]]
[[  3.   2. 933.   8.   1.   2. 725.   2.]]
[[  3.   2. 935.   1.   2.   1. 726.   3.]]
[[  2.   2. 936.   8.   1.   2. 727.   1.]]
[[  1.   3. 937.   3.   1.   3. 728.   1.]]
[[  3.   2. 938.   8.   2.   1. 729.   3.]]
[[  1.   4. 939.   5.   2.   2. 730.   2.]]
[[  3.   3. 941.  10.   3.   1. 731.   1.]]
[[  2.   4. 942.   6.   2.   2. 732.   3.]]
[[  3.   2. 945.   2.   1.   2. 733.   1.]]
[[  3.   9. 947.   3.   3.   3. 734.   2.]]
[[  3.   3. 948.  10.   3.   1. 735.   2.]]
[[  3.   3. 949.  10.   3.   1. 736.   2.]]
[[  3.   6. 950.   7.   2.   3. 737.   3.]]
[[  3.   3. 951.   5.   1.   3. 738.   1.]]
[[  3.   2. 952.   6.   2.   1. 739.   1.]]
[[  1.   2. 955.   5.   2.   1. 740.   3.]]
[[  3.   3. 957.   9.   1.   3. 741.   2.]]
[[  2.   2. 959.   9.   1.   2. 742.   3.]]
[[  1.   2. 960.   1.   1.   2. 743.   2.]]
[[  2.   2. 961.   7.   1.   2. 744.   2.]]
[[  2.   1. 962.   5.   1.   1. 745.   3.]]
[[  3.   3. 963.   1.   3.   1. 746.   1.]]
[[  2.   2. 964.   7.   2.   1. 747.   2.]]
[[  3.   9. 965.   8.   3.   3. 748.   3.]]
[[  3.   3. 966.   4.   3.   1. 749.   2.]]
[[  3.   6. 968.   7.   3.   2. 750.   1.]]
[[  3.   1. 969.   1.   1.   1. 751.   2.]]
[[  2.   1. 971.   6.   1.   1. 752.   1.]]
[[  1.   4. 973.   3.   2.   2. 753.   2.]]
[[  3.   3. 974.   1.   1.   3. 754.   3.]]
[[  3.   6. 976.   2.   2.   3. 755.   1.]]
[[  3.   4. 977.   3.   2.   2. 756.   2.]]
[[  1.   1. 978.   3.   1.   1. 757.   1.]]
[[  1.   3. 979.   4.   3.   1. 758.   2.]]
[[  3.   2. 981.  10.   1.   2. 759.   1.]]
[[  1.   1. 983.   9.   1.   1. 760.   2.]]
[[  3.   6. 985.   7.   2.   3. 761.   2.]]
[[  2.   6. 987.   7.   3.   2. 762.   1.]]
[[  1.   4. 988.   1.   2.   2. 763.   3.]]
[[  3.   1. 990.   6.   1.   1. 764.   2.]]
[[  3.   3. 991.   2.   1.   3. 765.   3.]]
[[  3.   2. 992.   5.   1.   2. 766.   1.]]
[[  1.   9. 993.   8.   3.   3. 767.   3.]]
[[  3.   2. 994.   5.   2.   1. 768.   2.]]
[[  3.   2. 995.   9.   1.   2. 769.   1.]]
[[  3.   3. 996.   2.   1.   3. 770.   1.]]
[[  1.   3. 997.   9.   1.   3. 771.   1.]]
[[  3.   9. 998.   6.   3.   3. 772.   2.]]
[[  1.   2. 999.  10.   1.   2. 773.   1.]]
